没有适合此游戏的已安装图形后端	No installed graphics backend supports this game
正式安装拒绝未签名运行时清单	Production installation requires a signed runtime manifest
不支持的运行时主机架构：%@	Unsupported runtime host architecture: %@
运行时要求 macOS %@ 或更高版本	The runtime requires macOS %@ or later
运行时制品元数据无效	Invalid runtime artifact metadata
正式运行时制品必须使用 HTTPS	Production runtime artifacts must use HTTPS
运行时下载失败：%@	Runtime download failed: %@
运行时制品尺寸不匹配	Runtime artifact size mismatch
运行时制品 SHA-256 不匹配	Runtime artifact SHA-256 mismatch
运行时 archiveRoot 非法：%@	Invalid runtime archiveRoot: %@
运行时压缩包缺少 archiveRoot：%@	Runtime archive is missing archiveRoot: %@
多个运行时制品包含同名路径：%@	Multiple runtime artifacts contain the same path: %@
运行时压缩包包含越界路径：%@	Runtime archive contains an unsafe path: %@
未找到 %@	Not found: %@
Windows 用户名包含不安全字符	Windows username contains unsafe characters
Steam 启动项不能为负数	Steam launch option cannot be negative
Mac Gaming Uncle 缺少 Steam 界面兼容组件，请重新构建应用	Steam UI compatibility components are missing. Rebuild the app.
Steam 安装不完整：找不到 steamwebhelper.exe	Steam installation is incomplete: steamwebhelper.exe not found
Steam 原始 WebHelper 被包装器覆盖，且没有可恢复备份；请重新安装 Steam	Steam's original WebHelper was replaced and no backup is available. Reinstall Steam.
Steam 界面包装器安装后校验失败	Steam UI wrapper verification failed after installation
Steam 安装器没有来自 Valve 官方 CDN	The Steam installer did not come from Valve's official CDN
Steam 安装器尺寸异常	Unexpected Steam installer size
不可执行文件：%@	File is not executable: %@
文件不在 Bottle 的 C: 盘中	The file is outside the bottle's C: drive
不是有效的 Windows PE 可执行文件	Not a valid Windows PE executable
PE 文件头损坏	Corrupted PE header
内置配方资源缺失	Built-in recipe resources are missing
无法读取配方目录：%@	Unable to read recipe directory: %@
未知 schemaVersion	Unknown schemaVersion
缺少 id、name 或 profiles	Missing id, name, or profiles
重复配方 id：%@	Duplicate recipe id: %@
无法读取 %@ 的安装目录	Unable to read the installation directory for %@
未找到 %@ 的 Windows 启动程序	Windows executable not found for %@
Steam AppManifest 缺少必填字段：%@	Steam AppManifest is missing a required field: %@
VDF 文本编码无效	Invalid VDF text encoding
VDF 出现多余的右花括号	Unexpected closing brace in VDF
VDF 缺少键	Missing VDF key
VDF 键 %@ 缺少值	VDF key %@ is missing a value
VDF 缺少右花括号	Missing closing brace in VDF
VDF 仅支持带引号的键值	VDF requires quoted keys and values
VDF 字符串未闭合	Unterminated VDF string
下载未完成	Download incomplete
正在安装文件	Installing files
等待 Steam 完成安装或校验	Waiting for Steam to finish installation or verification
游戏尚未安装完成，请等待 Steam 完成下载和校验	This game is not ready. Wait for Steam to finish downloading and verifying it.
安装完成后即可开始游戏	You can play once installation finishes
正在启动…	Launching…
等待游戏启动…	Waiting for game…
游戏运行中	Game Running
启动失败，重试	Launch Failed — Retry
启动未确认，重试	Launch Unconfirmed — Retry
